Column_Data_00
    step      time[sec]       Fx[04]        Fy[04]        Fz[04]
       1   1.666667e-01   5.2481e-02    5.1491e-10    0.0000e+00
       2   3.333333e-01   1.7474e-02   -1.9127e-08    0.0000e+00
       3   5.000000e-01   7.4777e-03   -6.7478e-08    0.0000e+00
       4   6.666667e-01   2.8733e-03   -2.2000e-08    0.0000e+00
       5   8.333334e-01   7.9059e-04    1.9516e-08    0.0000e+00
       6   1.000000e+00  -3.8987e-05    2.5483e-08    0.0000e+00
       7   1.166667e+00  -3.6643e-04    1.4771e-08    0.0000e+00
       8   1.333333e+00  -7.1710e-04    7.6328e-09    0.0000e+00
       9   1.500000e+00  -1.4587e-03    1.5144e-09    0.0000e+00
      10   1.666667e+00  -2.7043e-03    1.2802e-08    0.0000e+00
      11   1.833333e+00  -4.2290e-03    3.5539e-08    0.0000e+00
      12   2.000000e+00  -5.5495e-03    6.4778e-08    0.0000e+00
      13   2.166667e+00  -6.1557e-03    9.9993e-08    0.0000e+00
      14   2.333333e+00  -5.7520e-03    1.1792e-07    0.0000e+00
      15   2.500000e+00  -4.3726e-03    1.0371e-07    0.0000e+00
      16   2.666667e+00  -2.3337e-03    6.8816e-08    0.0000e+00
      17   2.833333e+00  -8.3230e-05    4.4262e-08    0.0000e+00
      18   3.000000e+00   1.9606e-03    1.4539e-08    0.0000e+00
      19   3.166667e+00   3.5143e-03   -1.9708e-08    0.0000e+00
      20   3.333333e+00   4.4629e-03   -4.3131e-08    0.0000e+00
      21   3.500000e+00   4.8338e-03   -6.9947e-08    0.0000e+00
      22   3.666667e+00   4.7433e-03   -8.3516e-08    0.0000e+00
      23   3.833333e+00   4.3412e-03   -7.2855e-08    0.0000e+00
      24   4.000000e+00   3.7702e-03   -6.8574e-08    0.0000e+00
      25   4.166667e+00   3.1436e-03   -5.7912e-08    0.0000e+00
      26   4.333333e+00   2.5386e-03   -4.5312e-08    0.0000e+00
      27   4.500000e+00   1.9996e-03   -3.2853e-08    0.0000e+00
      28   4.666667e+00   1.5458e-03   -2.3726e-08    0.0000e+00
      29   4.833333e+00   1.1803e-03   -2.2030e-08    0.0000e+00
      30   5.000000e+00   8.9626e-04   -1.9122e-08    0.0000e+00
      31   5.166667e+00   6.8265e-04   -1.8082e-08    0.0000e+00
      32   5.333333e+00   5.2713e-04   -1.5518e-08    0.0000e+00
      33   5.500000e+00   4.1763e-04   -1.0414e-08    0.0000e+00
      34   5.666667e+00   3.4367e-04   -7.1280e-09    0.0000e+00
      35   5.833333e+00   2.9641e-04   -6.3051e-09    0.0000e+00
      36   6.000000e+00   2.6859e-04   -4.5231e-09    0.0000e+00
      37   6.166667e+00   2.5416e-04   -2.3221e-09    0.0000e+00
      38   6.333333e+00   2.4849e-04   -8.1780e-10    0.0000e+00
      39   6.500000e+00   2.4755e-04   -1.4135e-10    0.0000e+00
      40   6.666667e+00   2.4763e-04    1.2292e-09    0.0000e+00
      41   6.833333e+00   2.4402e-04    3.9123e-09    0.0000e+00
      42   7.000000e+00   2.3321e-04    2.7689e-09    0.0000e+00
      43   7.166667e+00   2.1159e-04    1.1396e-09    0.0000e+00
      44   7.333333e+00   1.7593e-04   -1.7063e-09    0.0000e+00
      45   7.500000e+00   1.2205e-04   -2.5897e-09    0.0000e+00
      46   7.666667e+00   4.7059e-05   -3.7104e-09    0.0000e+00
      47   7.833333e+00  -5.0375e-05   -5.8659e-09    0.0000e+00
      48   8.000000e+00  -1.6942e-04   -5.9770e-09    0.0000e+00
      49   8.166667e+00  -3.0687e-04   -3.0895e-09    0.0000e+00
      50   8.333333e+00  -4.5686e-04   -2.6250e-09    0.0000e+00
      51   8.500001e+00  -6.1099e-04   -2.0193e-09    0.0000e+00
      52   8.666667e+00  -7.5914e-04   -5.5731e-09    0.0000e+00
      53   8.833334e+00  -8.9001e-04   -8.4001e-09    0.0000e+00
      54   9.000000e+00  -9.9174e-04   -1.8173e-08    0.0000e+00
      55   9.166667e+00  -1.0533e-03   -1.5589e-08    0.0000e+00
      56   9.333333e+00  -1.0663e-03   -2.1808e-08    0.0000e+00
      57   9.500001e+00  -1.0254e-03   -2.1727e-08    0.0000e+00
      58   9.666667e+00  -9.2900e-04   -1.9950e-08    0.0000e+00
      59   9.833334e+00  -7.7970e-04   -2.4231e-08    0.0000e+00
      60   1.000000e+01  -5.8358e-04   -2.1323e-08    0.0000e+00
      61   1.016667e+01  -3.4982e-04   -1.2762e-08    0.0000e+00
      62   1.033333e+01  -8.9975e-05   -1.4054e-08    0.0000e+00
      63   1.050000e+01   1.8308e-04   -1.2923e-08    0.0000e+00
      64   1.066667e+01   4.5652e-04   -1.1631e-08    0.0000e+00
      65   1.083333e+01   7.1826e-04   -4.3616e-09    0.0000e+00
      66   1.100000e+01   9.5808e-04   -5.0077e-09    0.0000e+00
      67   1.116667e+01   1.1680e-03   -1.1308e-09    0.0000e+00
      68   1.133333e+01   1.3435e-03   -2.0193e-09    0.0000e+00
      69   1.150000e+01   1.4824e-03    1.2277e-08    0.0000e+00
      70   1.166667e+01   1.5852e-03    1.1308e-08    0.0000e+00
      71   1.183333e+01   1.6542e-03    1.8093e-08    0.0000e+00
      72   1.200000e+01   1.6929e-03    1.5185e-08    0.0000e+00
      73   1.216667e+01   1.7050e-03    1.9950e-08    0.0000e+00
      74   1.233333e+01   1.6946e-03    1.9143e-08    0.0000e+00
      75   1.250000e+01   1.6656e-03    2.4150e-08    0.0000e+00
      76   1.266667e+01   1.6230e-03    2.2131e-08    0.0000e+00
      77   1.283333e+01   1.5724e-03    1.8052e-08    0.0000e+00
